Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 07:57:49 2024

Initialized Ramulator. 
Address in frontend: 00007F91AFB5448A, Iclass: ALU
Address in frontend: 00007F91AFB54491, Iclass: ALU
Address in frontend: 00007F91AFB54498, Iclass: MOV
Address in frontend: 00007F91AFB5449B, Iclass: JUMP
Address in frontend: 00007F91AFB544A1, Iclass: ALU
Address in frontend: 00007F91AFB544A4, Iclass: JUMP
Address in frontend: 00007F91AFB545C0, Iclass: ALU
Address in frontend: 00007F91AFB545C7, Iclass: ALU
Address in frontend: 00007F91AFB545CE, Iclass: ALU
Address in frontend: 00007F91AFB545D5, Iclass: ALU
Address in frontend: 00007F91AFB545D8, Iclass: JUMP
Address in frontend: 00007F91AFB545DE, Iclass: MOV
Address in frontend: 00007F91AFB545E7, Iclass: ALU
Address in frontend: 00007F91AFB545EE, Iclass: MOV
Address in frontend: 00007F91AFB545F1, Iclass: ALU
Address in frontend: 00007F91AFB545F5, Iclass: JUMP
Address in frontend: 00007F91AFB54870, Iclass: ALU
Address in frontend: 00007F91AFB54873, Iclass: JUMP
Address in frontend: 00007F91AFB54622, Iclass: MOV
Address in frontend: 00007F91AFB54625, Iclass: ALU
Address in frontend: 00007F91AFB54629, Iclass: ALU
Address in frontend: 00007F91AFB5462D, Iclass: MOV
Address in frontend: 00007F91AFB54630, Iclass: ALU
Address in frontend: 00007F91AFB54634, Iclass: ALU
Address in frontend: 00007F91AFB54637, Iclass: MOV
Address in frontend: 00007F91AFB5463A, Iclass: ALU
Address in frontend: 00007F91AFB5463C, Iclass: JUMP
Address in frontend: 00007F91AFB54642, Iclass: ALU
Address in frontend: 00007F91AFB54646, Iclass: ALU
Address in frontend: 00007F91AFB54649, Iclass: ALU
Address in frontend: 00007F91AFB5464D, Iclass: MOV
Address in frontend: 00007F91AFB54650, Iclass: ALU
Address in frontend: 00007F91AFB54657, Iclass: JUMP
Address in frontend: 00007F91AFB54660, Iclass: ALU
Address in frontend: 00007F91AFB54664, Iclass: MOV
Address in frontend: 00007F91AFB54669, Iclass: MOV
Address in frontend: 00007F91AFB5466D, Iclass: ALU
Address in frontend: 00007F91AFB54670, Iclass: JUMP
Address in frontend: 00007F91AFB54676, Iclass: MOV
Address in frontend: 00007F91AFB54679, Iclass: ALU
Address in frontend: 00007F91AFB5467B, Iclass: MOV
Address in frontend: 00007F91AFB5467E, Iclass: CALL
Address in frontend: 00007F91AFB51020, Iclass: JUMP
Address in frontend: 00007F91A7E8BF50, Iclass: MOV
Address in frontend: 00007F91A7E8BF54, Iclass: MOV
Address in frontend: 00007F91A7E8BF57, Iclass: MOV
Address in frontend: 00007F91A7E8BF5C, Iclass: ALU
Address in frontend: 00007F91A7E8BF60, Iclass: JUMP
Address in frontend: 00007F91A7E8BF66, Iclass: ALU
Address in frontend: 00007F91A7E8BF6A, Iclass: JUMP
Address in frontend: 00007F91A7E8BF7A, Iclass: ALU
Address in frontend: 00007F91A7E8BF81, Iclass: JUMP
Address in frontend: 00007F91A7E8BF20, Iclass: ALU
Address in frontend: 00007F91A7E8BF23, Iclass: MOV
Address in frontend: 00007F91A7E8BF26, Iclass: MOV
Address in frontend: 00007F91A7E8BF2A, Iclass: MOV
Address in frontend: 00007F91A7E8BF2D, Iclass: ALU
