Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 10:52:33 2024

Initialized Ramulator. 
Address in frontend: 000055DECEF69DD0, Iclass: JUMP
Address in frontend: 000055DECEF69DD2, Iclass: POP
Address in frontend: 000055DECEF69DD3, Iclass: MOV
Address in frontend: 000055DECEF69DD6, Iclass: POP
Address in frontend: 000055DECEF69DD8, Iclass: POP
Address in frontend: 000055DECEF69DDA, Iclass: POP
Address in frontend: 000055DECEF69DDC, Iclass: POP
Address in frontend: 000055DECEF69DDD, Iclass: POP
Address in frontend: 000055DECEF67465, Iclass: ALU
Address in frontend: 000055DECEF67468, Iclass: MOV
Address in frontend: 000055DECEF6746B, Iclass: JUMP
Address in frontend: 000055DECEF6746D, Iclass: ALU
Address in frontend: 000055DECEF67471, Iclass: ALU
Address in frontend: 000055DECEF67476, Iclass: MOV
Address in frontend: 000055DECEF6747A, Iclass: MOV
Address in frontend: 000055DECEF6747E, Iclass: MOV
Address in frontend: 000055DECEF67481, Iclass: ALU
Address in frontend: 000055DECEF67485, Iclass: MOV
Address in frontend: 000055DECEF67488, Iclass: MOV
Address in frontend: 000055DECEF6748C, Iclass: MOV
Address in frontend: 000055DECEF6748F, Iclass: JUMP
Address in frontend: 000055DECEF66A32, Iclass: ALU
Address in frontend: 000055DECEF66A35, Iclass: MOV
Address in frontend: 000055DECEF66A39, Iclass: JUMP
Address in frontend: 000055DECEF66A3F, Iclass: MOV
Address in frontend: 000055DECEF66A46, Iclass: MOV
Address in frontend: 000055DECEF66A4D, Iclass: MOV
Address in frontend: 000055DECEF66A50, Iclass: MOV
Address in frontend: 000055DECEF66A57, Iclass: MOV
Address in frontend: 000055DECEF66A5B, Iclass: ALU
Address in frontend: 000055DECEF66A5F, Iclass: ALU
Address in frontend: 000055DECEF66A64, Iclass: MOV
Address in frontend: 000055DECEF66A68, Iclass: MOV
Address in frontend: 000055DECEF66A6B, Iclass: ALU
Address in frontend: 000055DECEF66A6D, Iclass: JUMP
Address in frontend: 000055DECEF66A73, Iclass: ALU
Address in frontend: 000055DECEF66A7B, Iclass: JUMP
Address in frontend: 000055DECEF66A81, Iclass: MOV
Address in frontend: 000055DECEF66A88, Iclass: ALU
Address in frontend: 000055DECEF66A8A, Iclass: ALU
Address in frontend: 000055DECEF66A8D, Iclass: ALU
Address in frontend: 000055DECEF66A91, Iclass: JUMP
Address in frontend: 000055DECEF66AED, Iclass: MOV
Address in frontend: 000055DECEF66AF1, Iclass: CALL
